Desktop File Name	Name	Generic Name	Comments	Command	Terminal/UI	Display	Show	MIME Types	Categories	Keywords
org.kde.korganizer.desktop	KOrganizer	Personal Organizer	Calendar and Scheduling Program	"korganizer %U"	UI	OnDisplay	Shown	text/calendar	Qt, KDE, Office, Calendar	
org.kde.kdevelop_kdev4.desktop	KDevelop	Integrated Development Environment		"kdevelop -p %u"	UI	NoDisplay	Shown	application/x-kdevelop	Qt, KDE, Development, IDE	
org.kde.lokalize.desktop	Lokalize	Computer-Aided Translation System		"lokalize %F"	UI	OnDisplay	Shown	application/x-xliff, text/x-gettext-translation, text/x-gettext-translation-template, application/x-lokalize-project	Qt, KDE, Development, Office, Translation	
kcm_users.desktop	Users			"systemsettings kcm_users"	UI	NoDisplay	Shown			
kcm_plasmasearch.desktop	Plasma Search			"systemsettings kcm_plasmasearch"	UI	NoDisplay	Shown			
okularApplication_djvu.desktop	Okular	Document Viewer	Universal document viewer	"okular %U"	UI	NoDisplay	Shown	image/vnd.djvu	Qt, KDE, Graphics, Viewer	
org.kde.kmplot.desktop	KmPlot	Mathematical Function Plotter	Function Plotter	"kmplot %u"	UI	OnDisplay	Shown	application/x-kmplot	Qt, KDE, Education, Math	
xfce4-clipman.desktop	Clipboard Manager		Clipboard Manager Autostart File	"xfce4-clipman"	UI	OnDisplay	Shown		GTK, Utility, TrayIcon	
org.gtk.WidgetFactory4.desktop	Widget Factory		A showcase for GTK widgets, designed for testing themes.	"gtk4-widget-factory"	UI	OnDisplay	Shown		Development, GTK	
kbd-layout-viewer5.desktop	Keyboard layout viewer		View keyboard layout	"kbd-layout-viewer5"	UI	OnDisplay	Shown		Qt, KDE, Utility	
org.kde.kid3.desktop	Kid3	Audio Tagger	Edit audio file metadata	"kid3 %F"	UI	OnDisplay	Shown	audio/mpeg, audio/ogg, application/ogg, audio/x-flac, audio/x-flac+ogg, audio/x-vorbis+ogg, audio/x-speex+ogg, audio/x-oggflac, audio/x-musepack, audio/aac, audio/mp4, audio/x-speex, audio/x-tta, audio/x-wavpack, audio/x-aiff, audio/x-it, audio/x-mod, audio/x-s3m, audio/x-ms-wma, audio/x-wav, audio/x-xm, audio/opus, audio/x-opus+ogg, audio/x-dsf, inode/directory	Qt, KDE, AudioVideo, Audio, AudioVideoEditing	audio, id3, tag, editor, id3v1, id3v2, mp3
org.kde.kontrast.desktop	Kontrast		Contrast Checker	"kontrast"	UI	OnDisplay	Shown		Graphics, Qt, KDE	
kcm_touchpad.desktop	Touchpad			"systemsettings kcm_touchpad"	UI	NoDisplay	Shown			
org.kde.kalgebramobile.desktop	KAlgebra Mobile	Pocket Graph Calculator	Pocket Math Expression Solver and Plotter	"kalgebramobile %u"	UI	OnDisplay	Shown	application/x-kalgebra	Qt, KDE, Education, Math, Science	
org.kde.konsole.desktop	Konsole	Terminal	Command line access	"konsole"	UI	OnDisplay	Shown		Qt, KDE, System, TerminalEmulator	terminal, console, script, run, execute, command, command-line, commandline, cli, bash, sh, shell, zsh, cmd, command prompt
org.kde.kitenradselect.desktop	Radical Selector			"kitenradselect"	UI	NoDisplay	Shown		Qt, KDE, Education, Languages	
okularApplication_tiff.desktop	Okular	Document Viewer	Universal document viewer	"okular %U"	UI	NoDisplay	Shown	image/tiff	Qt, KDE, Graphics, Viewer	
kcm_screenlocker.desktop	Screen Locking			"systemsettings kcm_screenlocker"	UI	NoDisplay	Shown			
okularApplication_ghostview.desktop	Okular	Document Viewer	Universal document viewer	"okular %U"	UI	NoDisplay	Shown	application/postscript, image/x-eps, application/x-gzpostscript, application/x-bzpostscript, image/x-gzeps, image/x-bzeps	Qt, KDE, Graphics, Viewer	
org.kde.mobile.okular_xps.desktop	Reader	Document viewer	Viewer for various types of documents	"okularkirigami %u"	UI	NoDisplay	Shown	application/oxps, application/vnd.ms-xpsdocument	Qt, KDE, Graphics, Office, Viewer	
org.kde.knotes.desktop	KNotes	Popup Notes		"knotes"	UI	OnDisplay	Shown		Qt, KDE, Utility, TextTools, X-KDE-Utilities-Desktop	
org.kde.systemmonitor.desktop	System Activity			"systemmonitor"	UI	NoDisplay	Shown			
org.kde.konversation.desktop	Konversation	IRC Client		"konversation -qwindowtitle %c %u"	UI	OnDisplay	Shown	x-scheme-handler/irc, x-scheme-handler/ircs	Qt, KDE, Network, IRCClient	
kcm_kwinxwayland.desktop	Legacy X11 App Support			"systemsettings kcm_kwinxwayland"	UI	NoDisplay	Shown			
org.gtk.IconBrowser4.desktop	Icon Browser		An application that shows themed icons	"gtk4-icon-browser"	UI	OnDisplay	Shown		Development, GTK	
org.kde.kontact.desktop	Kontact	Personal Information Manager		"kontact"	UI	OnDisplay	Shown		Qt, KDE, Office	
org.kde.klipper.desktop	Klipper	Clipboard Tool	A cut & paste history utility	"klipper"	UI	OnDisplay	Shown		Qt, KDE, Utility, X-KDE-Utilities-Desktop	
org.kde.kdeconnect.sms.desktop	KDE Connect SMS	SMS	Text Messaging	"kdeconnect-sms"	UI	OnDisplay	Shown		Qt, KDE, Network, InstantMessaging	
org.kde.kmymoney.desktop	KMyMoney	Personal Finance Manager	Personal Finance Manager	"kmymoney %u"	UI	OnDisplay	Shown	application/x-kmymoney, application/vnd.intu.qfx, application/x-ofx	Qt, KDE, Office, Finance	
org.kde.kdeconnect-settings.desktop	KDE Connect Settings	Connect and sync your devices		"kdeconnect-settings"	UI	OnDisplay	Shown		Qt, KDE, Settings, HardwareSettings	
org.kde.okular.desktop	Okular	Document Viewer	Universal document viewer	"okular %U"	UI	OnDisplay	Shown	application/vnd.kde.okular-archive	Qt, KDE, Graphics, Office, Viewer	
org.gnome.pan.desktop	Pan	Newsreader	Read and post Usenet articles	"pan %U"	UI	OnDisplay	Shown	application/x-nzb	GTK, Network, News	usenet, news, newsreader, newsgroup, article, yenc, nzb
kfmclient_dir.desktop	Konqueror			"kfmclient --mimetype inode/directory openURL %u"	UI	NoDisplay	Shown	inode/directory	Qt, KDE, System	
mplayer.desktop	MPlayer	Media Player	Play movies and songs	"gmplayer %F"	UI	OnDisplay	Shown	application/x-cd-image, application/x-cue, application/x-mpegurl, application/mxf, application/x-netshow-channel, application/ogg, application/ram, application/vnd.adobe.flash.movie, application/vnd.apple.mpegurl, application/vnd.rn-realmedia, application/x-shockwave-flash, application/smil, audio/aac, audio/ac3, audio/x-adpcm, audio/x-aiff, audio/AMR, audio/AMR-WB, audio/x-ape, audio/basic, audio/flac, audio/x-flac, audio/x-flac+ogg, audio/x-m4b, audio/x-matroska, audio/mp2, audio/mp4, audio/mpeg, audio/x-mpegurl, audio/x-ms-asx, audio/x-ms-wma, audio/x-musepack, audio/ogg, audio/vnd.rn-realaudio, audio/x-scpls, audio/x-voc, audio/x-vorbis+ogg, audio/x-wav, audio/x-wavpack, video/3gpp, video/3gpp2, video/dv, video/x-flic, video/x-flv, video/x-matroska, video/mp2t, video/mp4, video/mpeg, video/vnd.mpegurl, video/x-ms-asf, video/x-ms-wmv, video/x-msvideo, video/x-nsv, video/ogg, video/x-ogm+ogg, video/quicktime, video/vnd.rn-realvideo, video/x-theora+ogg, video/webm, x-content/audio-cdda, x-content/audio-dvd, x-content/video-dvd, x-content/video-svcd, x-content/video-vcd	GTK, AudioVideo, Audio, Video, Player, TV	Player, Capture, Audio, Music, Song, Video, Movie, Film, Clip, DVD, VCD, CD, Disc, DVB, TV
kwincompositing.desktop	Compositor			"systemsettings kwincompositing"	UI	NoDisplay	Shown			
kcm_filetypes.desktop	File Associations			"systemsettings kcm_filetypes"	UI	NoDisplay	Shown			
nm-applet.desktop	Network		Manage your network connections	"nm-applet"	UI	NoDisplay	Shown			
org.kde.akregator.desktop	Akregator	Feed Reader	A KDE News Feed Reader	"akregator %u"	UI	OnDisplay	Shown	application/atom+xml, application/rss+xml, application/rdf+xml	Qt, KDE, Network, News, Feed	
kcm_colors.desktop	Colors			"systemsettings kcm_colors"	UI	NoDisplay	Shown			
xfce4-notifyd-config.desktop	Notifications		Customize how notifications appear on your screen	"xfce4-notifyd-config"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-PersonalSettings	
ddd.desktop	Data Display Debugger		Graphical debugger frontend	"ddd"	UI	OnDisplay	Shown		Development	
org.kde.krdc.desktop	KRDC	Remote Desktop Client	Connect with RDP or VNC to another computer	"krdc -qwindowtitle %c %u"	UI	OnDisplay	Shown	x-scheme-handler/vnc, x-scheme-handler/rdp	Qt, KDE, Network, RemoteAccess	
org.kde.dolphin.desktop	Dolphin	File Manager		"dolphin %u"	UI	OnDisplay	Shown	inode/directory	Qt, KDE, System, FileTools, FileManager	files, file management, file browsing, samba, network shares, Explorer, Finder
org.kde.knavalbattle.desktop	Naval Battle	Ship Sinking Game		"knavalbattle -qwindowtitle %c %U"	UI	OnDisplay	Shown	inode/vnd.kde.service.knavalbattle, x-scheme-handler/kbattleship	Qt, KDE, Game, StrategyGame	
cups.desktop	Manage Printing		CUPS Web Interface	"/usr/bin/xdg-open http://localhost:631/"	UI	OnDisplay	Shown		System, Printing, HardwareSettings, X-Red-Hat-Base	
qt5-linguist.desktop	Qt5 Linguist		Add translations to Qt5 applications	"linguist-qt5"	UI	OnDisplay	Shown	text/vnd.trolltech.linguist, application/x-linguist	Qt, Development	
org.kde.krfb.desktop	Krfb	Desktop Sharing (VNC)	Desktop Sharing	"krfb -qwindowtitle %c"	UI	OnDisplay	Shown		Qt, KDE, Network, RemoteAccess	
kcm_powerdevilactivitiesconfig.desktop	Activity Power Settings			"systemsettings kcm_powerdevilactivitiesconfig"	UI	NoDisplay	Shown			
systemsettings.desktop	System Settings	System Settings	Configuration tools for your computer	"systemsettings"	UI	OnDisplay	Shown		Qt, KDE, Settings	
org.kde.bluedevilsendfile.desktop	Bluetooth File Transfer	Bluetooth File Transfer	Send files via Bluetooth	"bluedevil-sendfile -k %u"	UI	NoDisplay	Shown	application/vnd.kde.bluedevil-sendfile	Qt, KDE, X-Bluetooth, Network	
xfce-keyboard-settings.desktop	Keyboard		Edit keyboard settings and application shortcuts	"xfce4-keyboard-settings"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-HardwareSettings	numlock, keyboard, layout, shortcuts
ca.desrt.dconf-editor.desktop	dconf Editor	Configuration editor for dconf	Directly edit your entire configuration database	"dconf-editor"	UI	OnDisplay	Shown		GNOME, GTK, System	settings, configuration
xfce4-settings-editor.desktop	Settings Editor		Graphical settings editor for Xfconf	"xfce4-settings-editor"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog	registry, regedit, configuration file
org.kde.artikulate.desktop	Artikulate	Artikulate Pronunciation Trainer		"artikulate -qwindowtitle "%c""	UI	OnDisplay	Shown		Qt, KDE, Education, Languages	
gvim.desktop	GVim	Text Editor	Edit text files	"gvim -f %F"	UI	OnDisplay	Shown	text/english, text/plain, text/x-makefile, text/x-c++hdr, text/x-c++src, text/x-chdr, text/x-csrc, text/x-java, text/x-moc, text/x-pascal, text/x-tcl, text/x-tex, application/x-shellscript, text/x-c, text/x-c++	Utility, TextEditor	Text, editor
org.kde.ktorrent.desktop	KTorrent	BitTorrent Client	A BitTorrent program by KDE	"ktorrent %U"	UI	OnDisplay	Shown	application/x-bittorrent, application/x-torrent, x-scheme-handler/magnet	Qt, KDE, Network, FileTransfer, P2P	
org.kde.mobile.okular_pdf.desktop	Reader	Document viewer	Viewer for various types of documents	"okularkirigami %u"	UI	NoDisplay	Shown	application/pdf, application/x-gzpdf, application/x-bzpdf, application/x-wwf	Qt, KDE, Graphics, Office, Viewer	
org.kde.digikam.desktop	digiKam	Photo Management Program	Manage your photographs like a professional with the power of open source	"digikam -qwindowtitle %c"	UI	OnDisplay	Shown	x-content/image-dcf, x-content/image-picturecd	Qt, Graphics, Photography	
xmms.desktop	XMMS	Audio Player	Play music	"xmms %U"	UI	OnDisplay	Shown	application/x-ogg, audio/mp3, audio/mpeg, audio/mpegurl, audio/prs.sid, audio/x-flac, audio/x-it, audio/x-mod, audio/x-mp3, audio/x-mpeg, audio/x-mpegurl, audio/x-ms-wma, audio/x-musepack, audio/x-s3m, audio/x-scpls, audio/x-stm, audio/x-wav, audio/x-xm, application/ogg, audio/x-vorbis+ogg	Application, GTK, AudioVideo, Player	
xfce4-appfinder.desktop	Application Finder		Find and launch applications installed on your system	"xfce4-appfinder"	UI	OnDisplay	Shown		Utility, X-XFCE	program, applications, bookmarks
marble_kmz.desktop	Marble	Virtual Globe		"marble %F"	UI	NoDisplay	Shown	application/vnd.google-earth.kmz	Qt, KDE, Education, Geography	
org.kde.kdevelop_bzr.desktop	KDevelop (Fetch Bazaar Project)	Integrated Development Environment		"kdevelop --ps --fetch %U"	UI	NoDisplay	Shown	x-scheme-handler/bzr, x-scheme-handler/bzr+ssh, x-scheme-handler/lp	Qt, KDE, Development, IDE	
gftp.desktop	gFTP	gFTP	Download and upload files using multiple file transfer protocols	"gftp"	UI	OnDisplay	Shown		Network	ftp, network, transfer, file
marble_gpx.desktop	Marble	Virtual Globe		"marble %F"	UI	NoDisplay	Shown	application/gpx+xml	Qt, KDE, Education, Geography	
org.kde.kde-add-printer.desktop	Add Printer		Tool for adding new printers	"kde-add-printer"	UI	NoDisplay	Shown		Qt, KDE, Printing, Utility	
org.kde.akonadi_vcarddir_resource.desktop	vCard Directory			"akonadi_vcarddir_resource"	UI	NoDisplay	Shown			
org.kde.kleopatra.desktop	Kleopatra	Certificate Manager and Unified Crypto GUI		"kleopatra"	UI	OnDisplay	Shown		Qt, KDE, Utility	
